Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
64	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_195.fits	1	1.91	2	1	0.0	0.0	0.6032892119250199	-2.279335805551089	4.133109993754873	0.1346414898020004	0.001403595952377035	2.0657	0.32315522
65	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	2	2	8.076616824237474	5.147069114895904	0.6535345366115919	-0.7505835727740835	4.385468762465707	0.374437650616752	0.14031938618289902	2.4526	0.5274472
66	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	2	2	1.4852251046184546	5.562115462150777	0.5426606465663664	-1.382155376182045	2.8116779903708196	0.3170845391490768	0.053528617419517054	1.4861	0.20819035
67	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	2	1	0.0	0.0	0.6039317701005128	-2.2347743494320644	4.047388201778343	0.154303988541035	0.10913411699782227	1.8839	0.34785259999999996
68	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	2	1	0.0	0.0	0.5900672366599243	-1.8744250814230763	4.028088314354036	0.1861712528008139	0.08326307453563471	2.2247	0.07776761
69	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	2	1	0.0	0.0	0.6186645587299364	-1.8535369427488648	4.472953680797438	0.2368925985051669	0.12387745247692923	2.5586	0.14336468
70	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	2	1	0.0	0.0	0.6113823349050006	-2.2056726048668454	4.715829763130467	0.15974806737156844	0.20229538042105635	2.8575	0.27968067
71	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	2	1	0.0	0.0	0.5935491571326705	-2.3609009899193625	4.510598895687368	0.14890906986190247	0.1658832939151491	2.9759	0.051123597
72	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	2	1	0.0	0.0	0.5739380137391588	-2.190268880492937	3.7961282354762433	0.12931975746144786	0.08664908117006401	2.231	0.23304488
73	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	2	1	0.0	0.0	0.5401158327825313	-2.1261291427453357	3.5742651144946853	0.08562462841942045	0.07943644615434127	2.0634	0.13199246
74	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	0	2.69	2	1	0.0	0.0	0.5881496281524745	-2.1129315239717044	3.6160976831413287	0.045945896881934484	0.052579019902726835	1.9298	0.08319739
75	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	0	2.79	2	1	0.0	0.0	0.5742698063361082	-2.095545322998732	3.6881825194581914	0.0929556455578393	0.05901444524659096	2.0405	0.14238818
76	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	0	3.62	2	1	0.0	0.0	0.5815528676696146	-2.3983274870866085	4.410087695255854	0.058885543421611786	0.16124676076974087	3.2322	0.08975136
77	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	0	4.6	2	1	0.0	0.0	0.5600940211500951	-2.342060087487189	3.997548046991706	0.02084204025960736	0.10594087445407284	2.9535	0.1611967
78	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_311.fits	0	5.18	2	1	0.0	0.0	0.5653462596749551	-2.4058555113136793	4.387395236571916	-0.007159127879318136	0.127649086269669	3.0429	0.10541177
79	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	0	5.57	2	1	0.0	0.0	0.5890515761798576	-2.4521870199827696	4.368862892132036	0.0063108866343522104	0.12606134887742868	3.3847	0.13917409
80	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_320.fits	0	6.06	2	1	0.0	0.0	0.5854190816996878	-2.4596329210429166	4.353245758664552	0.006193057330336724	0.1013088423334555	3.2076	0.18072289
81	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	0	0.05	2	1	0.0	0.0	0.5514286225679716	-1.6319402329920871	3.2317610253390736	0.04443010812950702	0.0727525252893499	0.5311	0.13784908
82	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	0	0.1	2	1	0.0	0.0	0.5598966630212686	-1.5382575924202522	3.194633745368108	-0.007711395545748612	0.0216196129694556	0.5234	0.15021725
83	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	0	0.2	2	1	0.0	0.0	0.5338556404830032	-1.5731175017156156	3.1064077233508645	0.026258129415200927	0.05031412249246612	0.4863	0.0798005
84	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_030.fits	0	0.29	2	1	0.0	0.0	0.5381934445431956	-1.498012058047774	3.1228217864171866	-0.04893127008328405	0.039800134442379856	0.5517	0.10786914
85	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	2	2	5.070099361205863	1.4352250307811498	0.4884812642615871	-1.1961290320576712	2.4286881499069586	0.4767591772791255	0.06171640596255721	0.6187	0.70512336
86	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	2	1	0.0	0.0	0.6287384876702495	-1.832789448430043	3.2334577559660143	0.27512882055371474	0.10162352478796427	1.1792	0.52312434
